timestamp,type,value
2025-09-11T20:40:35.306327,MARKER,Ellie Skidpad
2025-09-11T20:41:30.820616,GATE_TRIGGER,9.756
2025-09-11T20:41:38.749958,GATE_TRIGGER,7.925
2025-09-11T20:41:47.440960,GATE_TRIGGER,8.696
2025-09-11T20:41:55.020711,GATE_TRIGGER,7.579
2025-09-11T20:41:56.718996,CONE,1
2025-09-11T20:41:56.936923,CONE,1
2025-09-11T20:41:57.188840,CONE,1
2025-09-11T20:41:57.439746,CONE,1
2025-09-11T20:43:25.085389,GATE_TRIGGER,9.194
2025-09-11T20:43:33.463178,GATE_TRIGGER,8.369
2025-09-11T20:43:37.592178,CONE,1
2025-09-11T20:43:41.301065,GATE_TRIGGER,7.842
2025-09-11T20:43:48.508801,GATE_TRIGGER,7.216
2025-09-11T20:45:29.749828,GATE_TRIGGER,8.603
2025-09-11T20:45:37.285146,GATE_TRIGGER,7.619
2025-09-11T20:45:40.793228,CONE,1
2025-09-11T20:45:40.919108,CONE,1
2025-09-11T20:45:41.096038,CONE,1
2025-09-11T20:45:44.389742,GATE_TRIGGER,7.108
2025-09-11T20:45:51.048636,GATE_TRIGGER,6.656
2025-09-11T20:47:36.141273,GATE_TRIGGER,7.01
2025-09-11T20:47:42.771233,GATE_TRIGGER,6.511
2025-09-11T20:48:28.167274,GATE_TRIGGER,7.916
2025-09-11T20:48:35.271136,GATE_TRIGGER,7.101
2025-09-11T20:48:42.118050,GATE_TRIGGER,6.849
2025-09-11T20:48:48.815486,GATE_TRIGGER,6.502
2025-09-11T20:49:16.655152,GATE_TRIGGER,6.714
2025-09-11T20:49:23.089152,GATE_TRIGGER,6.434
2025-09-11T20:49:29.350736,GATE_TRIGGER,6.263
2025-09-11T20:49:35.541557,GATE_TRIGGER,6.185
2025-09-11T20:50:04.052710,GATE_TRIGGER,6.962
2025-09-11T20:50:10.588250,GATE_TRIGGER,6.564
2025-09-11T20:50:17.266371,GATE_TRIGGER,6.674
2025-09-11T20:50:23.847514,GATE_TRIGGER,6.48
2025-09-11T20:50:26.126190,CONE,1
2025-09-11T20:53:06.143479,GATE_TRIGGER,6.947
2025-09-11T20:53:12.946798,GATE_TRIGGER,6.804
2025-09-11T20:53:19.300131,GATE_TRIGGER,6.355
2025-09-11T20:53:25.272392,GATE_TRIGGER,5.972
2025-09-11T20:53:32.873191,CONE,1
2025-09-11T20:53:33.135426,CONE,1
2025-09-11T20:53:33.266589,CONE,1
2025-09-11T20:53:33.514570,CONE,1
2025-09-11T20:53:48.051451,CONE,1
2025-09-11T20:53:48.952477,CONE,1
2025-09-11T20:55:58.912333,GATE_TRIGGER,8.3
2025-09-11T20:56:05.658504,GATE_TRIGGER,6.752
2025-09-11T20:56:12.003945,GATE_TRIGGER,6.278
2025-09-11T20:56:18.330865,GATE_TRIGGER,6.393
2025-09-11T20:56:24.688620,GATE_TRIGGER,6.359
2025-09-11T20:56:31.295536,GATE_TRIGGER,6.604
2025-09-11T20:56:34.143375,CONE,1
2025-09-11T20:56:34.370738,CONE,1
2025-09-11T20:56:34.904550,CONE,1
2025-09-11T20:56:39.027756,GATE_TRIGGER,7.736
2025-09-11T20:56:45.684540,GATE_TRIGGER,6.653
2025-09-11T20:56:51.587739,GATE_TRIGGER,5.906
2025-09-11T20:56:54.388902,CONE,1
2025-09-11T20:56:57.438933,GATE_TRIGGER,5.851
2025-09-11T20:57:03.220771,GATE_TRIGGER,5.778
2025-09-11T20:59:20.404233,GATE_TRIGGER,7.172
2025-09-11T20:59:26.482531,GATE_TRIGGER,6.078
2025-09-11T20:59:32.411604,GATE_TRIGGER,5.913
2025-09-11T20:59:38.201117,GATE_TRIGGER,5.807
2025-09-11T20:59:44.230892,GATE_TRIGGER,6.03
2025-09-11T20:59:50.017263,GATE_TRIGGER,5.788
2025-09-11T20:59:56.077324,GATE_TRIGGER,6.06
2025-09-11T20:59:59.702633,CONE,1
2025-09-11T21:00:03.417366,GATE_TRIGGER,7.342
2025-09-11T21:00:09.726208,GATE_TRIGGER,6.309
2025-09-11T21:00:15.604005,GATE_TRIGGER,5.878
2025-09-11T21:00:21.138105,GATE_TRIGGER,5.534
2025-09-11T21:02:32.431018,CONE,1
2025-09-11T21:02:32.579090,CONE,1
2025-09-11T21:02:33.343907,GATE_TRIGGER,6.659
2025-09-11T21:02:39.267788,OFF_TRACK,1
2025-09-11T21:02:55.637632,CONE,1
2025-09-11T21:02:55.837670,CONE,1
2025-09-11T21:04:38.598551,GATE_TRIGGER,6.73
2025-09-11T21:04:44.551219,GATE_TRIGGER,5.963
2025-09-11T21:04:48.680392,CONE,1
2025-09-11T21:04:48.878641,CONE,1
2025-09-11T21:04:49.140151,CONE,1
2025-09-11T21:04:49.438129,CONE,1
2025-09-11T21:04:50.779357,GATE_TRIGGER,6.227
2025-09-11T21:04:57.846200,GATE_TRIGGER,7.071
2025-09-11T21:05:01.585641,CONE,1
2025-09-11T21:05:01.714062,CONE,1
2025-09-11T21:06:34.816952,CONE,1
2025-09-11T21:06:35.242656,GATE_TRIGGER,6.442
2025-09-11T21:06:41.357198,GATE_TRIGGER,6.116
2025-09-11T21:06:47.579281,GATE_TRIGGER,6.199
2025-09-11T21:06:53.017898,GATE_TRIGGER,5.41
2025-09-11T21:08:27.401741,GATE_TRIGGER,6.511
2025-09-11T21:08:33.151504,GATE_TRIGGER,5.728
2025-09-11T21:08:39.043653,GATE_TRIGGER,5.924
2025-09-11T21:08:45.419814,GATE_TRIGGER,6.385
2025-09-11T21:08:47.527946,CONE,1
2025-09-11T21:08:47.793825,CONE,1
2025-09-11T21:08:48.048663,CONE,1
2025-09-11T21:21:52.761435,CONE,1
2025-09-11T21:21:55.429965,GATE_TRIGGER,6.254
2025-09-11T21:21:58.838639,CONE,1
2025-09-11T21:22:01.243818,GATE_TRIGGER,5.819
2025-09-11T21:22:04.365361,CONE,1
2025-09-11T21:22:04.896276,CONE,1
2025-09-11T21:22:05.187356,CONE,1
2025-09-11T21:22:07.190375,GATE_TRIGGER,5.947
2025-09-11T21:22:09.716986,CONE,1
2025-09-11T21:22:11.339550,CONE,1
2025-09-11T21:22:12.227733,CONE,1
2025-09-11T21:24:52.387704,GATE_TRIGGER,6.762
2025-09-11T21:24:58.744792,GATE_TRIGGER,6.34
2025-09-11T21:25:04.713919,GATE_TRIGGER,5.987
2025-09-11T21:25:10.299802,GATE_TRIGGER,5.569
2025-09-11T21:25:11.223847,CONE,1
2025-09-11T21:27:30.152051,GATE_TRIGGER,6.433
2025-09-11T21:27:36.326747,GATE_TRIGGER,6.177
2025-09-11T21:27:42.337715,GATE_TRIGGER,6.01
2025-09-11T21:27:48.480976,GATE_TRIGGER,6.145
2025-09-11T21:28:26.988792,CONE,1
