timestamp_ms,id,signal_name,value
2743,104,Yaw,150.3316
2743,105,Pitch,-0.2233
2743,106,Roll,0.9464
2743,113,GyroX,0.0007
2743,114,GyroY,0.0009
2743,115,GyroZ,-0.0089
2743,101,AccelX,-0.0193
2743,102,AccelY,-0.1656
2743,103,AccelZ,-9.8586
2752,20,APPS1,1706.0000
2752,21,SIM-IN2,13.0000
2752,22,SIM-IN3,13.0000
2752,23,SIM-IN4,13.0000
2761,24,SIM-IN5,11.0000
2761,25,SIM-IN6,14.0000
2761,26,SIM-IN7,14.0000
2761,27,SIM-IN8,14.0000
2763,104,Yaw,150.3305
2763,105,Pitch,-0.2223
2763,106,Roll,0.9446
2763,113,GyroX,-0.0008
2763,114,GyroY,-0.0008
2763,115,GyroZ,-0.0085
2763,101,AccelX,-0.0591
2763,102,AccelY,-0.1504
2763,103,AccelZ,-9.7961
2783,104,Yaw,150.3302
2783,105,Pitch,-0.2236
2783,106,Roll,0.9470
2783,113,GyroX,-0.0006
2783,114,GyroY,-0.0001
2783,115,GyroZ,-0.0091
2783,101,AccelX,-0.0341
2783,102,AccelY,-0.1723
2783,103,AccelZ,-9.8317
2801,29,BS2,14.0000
2801,30,SIM-IN14,13.0000
2801,31,SIM-IN15,15.0000
2801,32,SIM-IN16,407.0000
2803,104,Yaw,150.3268
2803,105,Pitch,-0.2222
2803,106,Roll,0.9485
2803,113,GyroX,-0.0001
2803,114,GyroY,0.0006
2803,115,GyroZ,-0.0101
2803,101,AccelX,-0.0521
2803,102,AccelY,-0.1588
2803,103,AccelZ,-9.8485
2822,24,SIM-IN5,12.0000
2822,25,SIM-IN6,12.0000
2822,26,SIM-IN7,13.0000
2822,27,SIM-IN8,14.0000
2823,104,Yaw,150.3316
2823,105,Pitch,-0.2236
2823,106,Roll,0.9517
2823,113,GyroX,-0.0006
2823,114,GyroY,-0.0008
2823,115,GyroZ,-0.0074
2823,101,AccelX,-0.0416
2823,102,AccelY,-0.2007
2823,103,AccelZ,-9.8211
2842,20,APPS1,1705.0000
2842,21,SIM-IN2,12.0000
2842,22,SIM-IN3,14.0000
2842,23,SIM-IN4,16.0000
2843,104,Yaw,150.3311
2843,105,Pitch,-0.2226
2843,106,Roll,0.9530
2843,113,GyroX,-0.0010
2843,114,GyroY,0.0001
2843,115,GyroZ,-0.0080
2843,101,AccelX,-0.0300
2843,102,AccelY,-0.1657
2843,103,AccelZ,-9.8410
2863,104,Yaw,150.3303
2863,105,Pitch,-0.2241
2863,106,Roll,0.9518
2863,113,GyroX,0.0012
2863,114,GyroY,-0.0004
2863,115,GyroZ,-0.0090
2863,101,AccelX,-0.0336
2863,102,AccelY,-0.1595
2863,103,AccelZ,-9.8651
2871,29,BS2,15.0000
2871,30,SIM-IN14,23.0000
2871,31,SIM-IN15,15.0000
2872,32,SIM-IN16,407.0000
2882,104,Yaw,150.3322
2882,105,Pitch,-0.2229
2882,106,Roll,0.9513
2882,113,GyroX,0.0007
2882,114,GyroY,0.0004
2882,115,GyroZ,-0.0084
2882,101,AccelX,-0.0403
2882,102,AccelY,-0.1607
2883,103,AccelZ,-9.8325
2891,33,SIM-IN17,31.0000
2891,34,SIM-IN18,19.0000
2891,35,SIM-IN19,10.0000
2891,36,SIM-IN20,2904.0000
2903,104,Yaw,150.3331
2903,105,Pitch,-0.2229
2903,106,Roll,0.9526
2903,113,GyroX,0.0001
2903,114,GyroY,-0.0011
2903,115,GyroZ,-0.0092
2903,101,AccelX,-0.0295
2903,102,AccelY,-0.1580
2903,103,AccelZ,-9.8011
2911,33,SIM-IN17,30.0000
2912,34,SIM-IN18,20.0000
2912,35,SIM-IN19,13.0000
2912,36,SIM-IN20,2904.0000
2923,104,Yaw,150.3292
2923,105,Pitch,-0.2221
2923,106,Roll,0.9517
2923,113,GyroX,0.0004
2923,114,GyroY,-0.0002
2923,115,GyroZ,-0.0097
2923,101,AccelX,-0.0291
2923,102,AccelY,-0.1657
2923,103,AccelZ,-9.8557
2931,20,APPS1,1702.0000
2931,21,SIM-IN2,14.0000
2931,22,SIM-IN3,14.0000
2931,23,SIM-IN4,14.0000
2941,29,BS2,17.0000
2941,30,SIM-IN14,15.0000
2941,31,SIM-IN15,15.0000
2941,32,SIM-IN16,407.0000
2943,104,Yaw,150.3301
2943,105,Pitch,-0.2213
2943,106,Roll,0.9523
2943,113,GyroX,0.0002
2943,114,GyroY,-0.0000
2943,115,GyroZ,-0.0088
2943,101,AccelX,-0.0646
2943,102,AccelY,-0.1657
2943,103,AccelZ,-9.8780
2951,20,APPS1,1704.0000
2951,21,SIM-IN2,13.0000
2951,22,SIM-IN3,13.0000
2951,23,SIM-IN4,13.0000
