Timestamp,Event,Event Time,Elapsed Time
16:05:21.456,Gate Trigger,,0.64
16:05:21.991,Gate Trigger,,0.538
16:05:22.614,Gate Trigger,,0.623
16:05:23.153,Gate Trigger,,0.541
16:05:23.728,Gate Trigger,,0.575
16:05:24.720,Gate Trigger,,0.991
16:05:25.372,Gate Trigger,,0.652
16:05:25.940,Gate Trigger,,0.569
16:05:26.449,Gate Trigger,,0.507
16:05:27.178,Gate Trigger,,0.725
16:05:27.802,Gate Trigger,,0.629
16:05:28.396,Gate Trigger,,0.594
16:05:29.203,Gate Trigger,,0.808
16:05:29.861,Gate Trigger,,0.656
16:07:27.018,Gate Trigger,,117.158
